日期,星期,貼文主題,,,,,,,
2025-12-09,二,倫敦現代泰菜餐廳 Anglo Thai（倫敦男子）,"5,304",37,14,0.26%,,,
2025-12-10,三,TIC 料理舞台秀,"1,067",15,0,0.00%,,,
2025-12-11,四,二階割烹冬季菜單,"1,209",13,6,0.50%,,,
2025-12-12,五,Le Grand Restaurant 十周年,"4,211",27,2,0.05%,,,
Week 51｜1214 - 1220,,,,,,,,,
2025-12-15,一,PJ Pastrami（Mokki）,"5,026",78,53,1.05%,"30,575",325,340
2025-12-16,二,名廚試用：沙漠湖鹽,801,15,5,0.62%,,,
2025-12-16,二,（簡中翻譯）2025 亞洲最佳甜點師 Dej Kewkacha,"7,123",57,23,0.32%,,,
2025-12-17,三,萬茶盛典新聞稿,"1,349",20,6,0.44%,,,
2025-12-17,三,夏花餐室客座（Mokki）,"7,612",84,35,0.46%,,,
2025-12-18,四,欣葉・鐘菜的美味與服務精神,"5,182",39,12,0.23%,,,
2025-12-19,五,Circum-× 鴻桃軒,"3,482",32,0,0.00%,,,
Week 52｜1221 - 1227,,,,,,,,,
2025-12-22,一,好食好事,"1,723",45,2,0.12%,"55,636",428,233
2025-12-22,一,Miznon,"7,452",64,68,0.91%,,,
2025-12-23,二,改變印度料理未來的三個女人（謝嫣薇）,"2,136",26,11,0.51%,,,
2025-12-24,三,東京印度咖哩老店（施清元）,"6,548",81,31,0.47%,,,
2025-12-25,四,Double V,"2,774",15,6,0.22%,,,
2025-12-25,四,2025 法國鮮奶油甜點賽事回顧專案,776,9,2,0.26%,,,
2025-12-26,五,《黑白大廚》崔鉉碩專訪（陳彬雁）,"33,087",172,44,0.13%,,,
2025-12-27,六,2025 美國米 KOC 社群內容推廣合作案,"1,140",16,2,0.18%,,,
Week 53 / Week 01｜1228 - 0103,,,,,,,,,
2025-12-29,一,Théorie Theory,"3,802",30,23,0.60%,"15,025",152,259
2025-12-30,二,HOPSCOTCH／英國豬新聞稿（一）,504,6,0,0.00%,,,
2025-12-30,二,精緻南亞料理 Old Nepal Tokyo（施清元）,"1,588",34,6,0.38%,,,
2025-12-31,三,𝟵𝟴 𝗪𝗜𝗡𝗘𝘀 & 𝗗𝗼𝗺𝗮𝗶𝗻𝗲 𝗧𝗲𝘁𝘁𝗮,456,9,2,0.44%,,,
2026-01-01,四,Bistro 以上，Fine Dining 未滿：卉寓主廚陳莛諭,"7,176",52,20,0.28%,,,
2026-01-02,五,撈個風生水起──新加坡食客所著迷的熱鬧年菜,"1,499",21,3,0.20%,,,
Week 02｜0104 - 0110,,,,,,,,,
2026-01-05,一,孫鍾元,"18,321",307,77,0.42%,"31,640",443,207
2026-01-06,二,ÎLE 島嶼法式海鮮專訪（Mokki）,"2,637",39,17,0.64%,,,
2026-01-07,三,2025 回顧 - 台灣食事,"1,823",16,8,0.44%,,,
2026-01-08,四,La Vie 冬季菜單,"1,643",22,191,11.63%,,,
2026-01-09,五,新加坡 Odette 重新開業,"7,216",59,26,0.36%,,,
Week 03｜0111 - 0117,,,,,,,,,
2026-01-12,一,陳撫洸專訪（Mokki）,"4,307",62,15,0.35%,"9,552",104,114
2026-01-13,二,2025 回顧 - 國際食事,823,8,39,4.74%,,,
2026-01-14,三,民生早午餐,"2,041",9,12,0.59%,,,
2026-01-15,四,（韓文翻譯）SOUL 主廚專訪,"1,220",16,24,1.97%,,,
2026-01-16,五,澳門 Justindia 主廚專訪,"1,161",9,7,0.60%,,,
Week 04｜0118 - 0124,,,,,,,,,
2026-01-19,一,山与,"11,526",191,56,0.49%,"100,141","1,189",470
2026-01-20,二,2025 回顧 - 台灣主廚,"2,392",18,14,0.59%,,,
2026-01-21,三,基隆嶼我專訪（Mokki）,"51,156",619,559,1.09%,,,
2026-01-22,四,2025 回顧 - 日韓主廚,"1,643",15,20,1.22%,,,
2026-01-23,五,HOPSCOTCH／英國豬新聞稿（二）,"8,896",47,21,0.24%,,,
2026-01-23,五,Paul Pairet 新加坡展店（陳彬雁）,"24,528",299,79,0.32%,,,
Week 05｜0125 - 0131,,,,,,,,,
2026-01-26,一,Villa 32 × Txispa,"15,378",86,73,0.47%,"27,700",212,303
2026-01-27,二,香港 ANDO 全新二澳米嚐味餐單,"3,948",18,5,0.13%,,,
2026-01-28,三,餐廳夥伴：haili-1,"3,630",40,7,0.19%,,,
2026-01-29,四,餐廳夥伴：haili-2,"2,219",24,6,0.27%,,,
2026-01-29,四,2025 回顧 - MAD 論壇實錄,809,10,1,0.12%,,,
2026-01-30,五,萬茶盛典,"1,716",34,2,0.12%,,,
Week 06｜0201- 0207,,,,,,,,,
2026-02-02,一,2025 回顧 - 印度沒有咖哩,"1,096",10,13,1.19%,"14,815",147,68
2026-02-03,二,2025 回顧 - 主廚以外的餐廳夥伴,"3,319",28,53,1.60%,,,
2026-02-04,三,嫣味嫣火嫣席｜「神祕的」大師姐家宴,"8,234",83,63,0.77%,,,
2026-02-05,四,菲律賓慢食年會上篇-1（林晏如）,852,12,13,1.53%,,,
2026-02-06,五,菲律賓慢食年會上篇-2（林晏如）,"1,314",14,2,0.15%,,,
Week 07｜0208- 0214,,,,,,,,,
2026-02-09,一,菲律賓慢食年會下篇（林晏如）,"6,266",87,12,0.19%,"21,257",242,22
2026-02-10,二,HOPSCOTCH／英國豬新聞稿（三）,"1,240",8,1,0.08%,,,
2026-02-11,三,（韓文翻譯）桂香閣主廚專訪,"1,872",18,16,0.85%,,,
2026-02-11,三,綺億 Omino＿牛肉分切,"3,634",24,4,0.11%,,,
2026-02-12,四,2025 回顧 - 國際主廚,"3,439",38,41,1.19%,,,
2026-02-13,五,西班牙三星名廚 Ángel León 專訪（陳彬雁）,"4,806",67,18,0.37%,,,
Week 08｜0215- 0221,,,,,,,,,
2026-02-16,一,在地食材與當代餐飲的風味對話,"1,468",15,13,0.89%,"10,497",69,3
2026-02-17,二,2025 名廚小聚,"4,837",36,36,0.74%,,,
2026-02-18,三,2025 名廚試用,948,2,20,2.11%,,,
2026-02-19,四,穩定中誕生的可能，美國米,764,3,7,0.92%,,,
2026-02-20,五,2025 國際廚藝挑戰與法式風味的極致演繹,"2,480",13,16,0.65%,,,
Week 09｜0222- 0228,,,,,,,,,
2026-02-23,一,餐廳夥伴：earnestos-1,"5,368",54,7,0.13%,"123,637","1,341",257
2026-02-24,二,餐廳夥伴：earnestos-2,"1,977",31,4,0.20%,,,
2026-02-24,二,好嶼歸寧宴,"1,933",19,9,0.47%,,,
2026-02-25,三,小麥過敏工作室專訪（Mokki）,"101,629","1,110",676,0.67%,,,
2026-02-26,四,嫣味嫣火嫣席｜太史菜,"3,572",50,35,0.98%,,,
2026-02-27,五,de nuit 冬季菜單,"9,158",77,38,0.41%,,,
Week 010｜0301- 0307,,,,,,,,,
2026-03-02,一,首本名菜中華食肆大獎匯聚「新世代廚師大獎」得主,"9,995",82,22,0.22%,"33,615",386,392
2026-03-03,二,京都安久主廚專訪（家豪）,"10,035",75,43,0.43%,,,
2026-03-04,三,保師傅紀念餐會,"6,466",104,20,0.31%,,,
2026-03-05,四,Embers × Monologue,"5,325",118,24,0.45%,,,
2026-03-06,五,朴承勳,"1,794",7,4,0.22%,,,
Week 11｜0308- 0314,,,,,,,,,
2026-03-09,一,In Spirit Taipei 2026,503,5,9,1.79%,"40,139",494,142
2026-03-10,二,（韓文翻譯）Bar Cham 專訪,"1,279",11,2,0.16%,,,
2026-03-11,三,越南現代料理教父 Peter Cuong Franklin（陳彬雁）,"3,482",34,9,0.26%,,,
2026-03-12,四,嘉義澄澄（Mokki）,"14,807",250,170,1.15%,,,
2026-03-12,四,Best 51-100,"1,501",9,35,2.33%,,,
2026-03-13,五,嫣味嫣火嫣席｜Noma 內幕（上）,"18,567",185,86,0.46%,,,
Week 12｜0315- 0321,,,,,,,,,
2026-03-16,一,Brise 冬季菜單,"2,678",32,9,0.34%,"21,770",235,286
2026-03-17,二,彰化 VNV（Mokki）,"2,144",30,21,0.98%,,,
2026-03-18,三,嫣味嫣火嫣席｜Noma 內幕（下）,"8,622",88,51,0.59%,,,
2026-03-19,四,香港澳門米芝蓮指南 2026 榜單發佈（18:00）,"6,373",58,43,0.67%,,,
2026-03-20,五,Circum- 無形文化資產菜單,"1,953",27,12,0.61%,,,
Week 13｜0322- 0328,,,,,,,,,
2026-03-23,一,Zài Cuisine 專訪（Mokki）,"3,636",51,19,0.52%,"16,620",216,155
2026-03-24,二,上海鄉村,"1,524",11,11,0.72%,,,
2026-03-25,三,2026 亞洲 50 最佳餐廳榜單發布（21:30）,"6,890",62,/,/,,,
2026-03-26,四,菜市場 Tsai Chi Ya（Mokki）,"3,751",80,30,0.80%,,,
2026-03-27,五,小小樹食早午餐,819,12,4,0.49%,,,
