日期,星期,貼文主題,單篇貼文成效,,,,,
2026-01-01,四,Bistro 以上，Fine Dining 未滿：卉寓主廚陳莛諭,2B 採訪報導,"4,365",236,,,
2026-01-02,五,撈個風生水起──新加坡食客所著迷的熱鬧年菜,2B 採訪報導,"1,134",38,,,
Week 02｜0104 - 0110,,,,,,,,
2026-01-05,一,孫鍾元,2B 採訪報導,"14,476","1,320","27,361","1,837",139
2026-01-06,二,ÎLE 島嶼法式海鮮專訪（Mokki）,2B 採訪報導,"3,090",111,,,
2026-01-07,三,2025 回顧 - 台灣食事,2B 產業動態,"3,538",137,,,
2026-01-08,四,La Vie 冬季菜單,2C 餐飲食事,"1,875",104,,,
2026-01-09,五,新加坡 Odette 重新開業,2C 餐飲食事,"4,382",165,,,
Week 03｜0111 - 0117,,,,,,,,
2026-01-12,一,陳撫洸專訪（Mokki）,2B 採訪報導,"1,460",58,"25,889",799,88
2026-01-13,二,2025 回顧 - 國際食事,2B 產業動態,"1,031",35,,,
2026-01-14,三,民生早午餐,2C 餐飲食事,"3,854",70,,,
2026-01-15,四,（韓文翻譯）SOUL 主廚專訪,2B 採訪報導,"18,072",581,,,
2026-01-16,五,澳門 Justindia 主廚專訪,2B 採訪報導,"1,472",55,,,
Week 04｜0118 - 0124,,,,,,,,
2026-01-19,一,山与,2C 餐飲食事,"5,347",262,"28,852","1,772",144
2026-01-20,二,2025 回顧 - 台灣主廚,2B 採訪報導,"4,635",230,,,
2026-01-21,三,基隆嶼我專訪（Mokki）,2B 採訪報導,"7,707",588,,,
2026-01-22,四,2025 回顧 - 日韓主廚,2B 採訪報導,"2,518",72,,,
2026-01-23,五,HOPSCOTCH／英國豬新聞稿（二）,品牌聚焦,"1,481",33,,,
2026-01-23,五,Paul Pairet 新加坡展店（陳彬雁）,2B 採訪報導,"7,164",587,,,
Week 05｜0125 - 0131,,,,,,,,
2026-01-26,一,Villa 32 × Txispa,2C 餐飲食事,"3,094",176,"16,677",703,82
2026-01-27,二,香港 ANDO 全新二澳米嚐味餐單,2C 餐飲食事,"2,210",78,,,
2026-01-28,三,餐廳夥伴：haili-1,2B 採訪報導,"4,332",167,,,
2026-01-29,四,餐廳夥伴：haili-2,2B 採訪報導,"3,434",132,,,
2026-01-29,四,2025 回顧 - MAD 論壇實錄,2B 產業動態,"1,528",57,,,
2026-01-30,五,萬茶盛典,2C 餐飲食事,"2,079",93,,,
Week 06｜0201- 0207,,,,,,,,
2026-02-02,一,2025 回顧 - 印度沒有咖哩,2B 採訪報導,980,35,"14,266",538,37
2026-02-03,二,2025 回顧 - 主廚以外的餐廳夥伴,2B 採訪報導,"8,062",316,,,
2026-02-04,三,嫣味嫣火嫣席｜「神祕的」大師姐家宴,2C 餐飲食事,"2,379",86,,,
2026-02-05,四,菲律賓慢食年會上篇-1（林晏如）,2B 採訪報導,"1,917",68,,,
2026-02-06,五,菲律賓慢食年會上篇-2（林晏如）,2B 採訪報導,928,33,,,
Week 07｜0208- 0214,,,,,,,,
2026-02-09,一,菲律賓慢食年會下篇（林晏如）,2B 採訪報導,"2,017",93,"13,745",438,32
2026-02-10,二,HOPSCOTCH／英國豬新聞稿（三）,品牌聚焦,"1,069",16,,,
2026-02-11,三,（韓文翻譯）桂香閣主廚專訪,2B 採訪報導,"1,693",50,,,
2026-02-11,三,綺億 Omino＿牛肉分切,品牌聚焦,"1,514",60,,,
2026-02-12,四,2025 回顧 - 國際主廚,2B 產業動態,"2,788",100,,,
2026-02-13,五,西班牙三星名廚 Ángel León 專訪（陳彬雁）,2B 採訪報導,"4,664",119,,,
Week 08｜0215- 0221,,,,,,,,
2026-02-16,一,在地食材與當代餐飲的風味對話,2B 產業動態,"1,290",37,"8,089",223,1
2026-02-17,二,2025 名廚小聚,2B 產業動態,"1,254",43,,,
2026-02-18,三,2025 名廚試用,2B 產業動態,"1,930",47,,,
2026-02-19,四,穩定中誕生的可能，美國米,2B 產業動態,"1,390",32,,,
2026-02-20,五,2025 國際廚藝挑戰與法式風味的極致演繹,2B 產業動態,"2,225",64,,,
Week 09｜0222- 0228,,,,,,,,
2026-02-23,一,餐廳夥伴：earnestos-1,2B 產業動態,"5,356",225,"37,622","1,893",101
2026-02-24,二,餐廳夥伴：earnestos-2,2B 產業動態,"2,757",95,,,
2026-02-24,二,好嶼歸寧宴,2C 餐飲食事,"2,674",135,,,
2026-02-25,三,小麥過敏工作室專訪（Mokki）,2B 採訪報導,"20,667","1,107",,,
2026-02-26,四,嫣味嫣火嫣席｜太史菜,2B 採訪報導,"2,011",92,,,
2026-02-27,五,de nuit 冬季菜單,2C 餐飲食事,"4,157",239,,,
Week 010｜0301- 0307,,,,,,,,
2026-03-02,一,首本名菜中華食肆大獎匯聚「新世代廚師大獎」得主,2B 產業動態,"2,504",99,"13,742",668,30
2026-03-03,二,京都安久主廚專訪（家豪）,2B 採訪報導,"2,228",103,,,
2026-03-04,三,保師傅紀念餐會,2B 採訪報導,"4,150",217,,,
2026-03-05,四,Embers × Monologue,2B 採訪報導,"3,350",202,,,
2026-03-06,五,朴承勳,2B 採訪報導,"1,510",47,,,
Week 11｜0308- 0314,,,,,,,,
2026-03-09,一,In Spirit Taipei 2026,2B 產業動態,"1,157",52,"43,651","4,056",131
2026-03-10,二,（韓文翻譯）Bar Cham 專訪,2B 採訪報導,"2,734",106,,,
2026-03-11,三,越南現代料理教父 Peter Cuong Franklin（陳彬雁）,2B 採訪報導,"5,322",358,,,
2026-03-12,四,嘉義澄澄（Mokki）,2B 採訪報導,"22,228","1,766",,,
2026-03-12,四,Best 51-100,2B 產業動態,"4,724","1,248",,,
2026-03-13,五,嫣味嫣火嫣席｜Noma 內幕（上）,2B 產業動態,"7,486",526,,,
Week 12｜0315- 0321,,,,,,,,
2026-03-16,一,Brise 冬季菜單,2C 餐飲食事,"2,255",108,"22,167","1,126",68
2026-03-17,二,彰化 VNV（Mokki）,2B 採訪報導,"7,074",471,,,
2026-03-18,三,嫣味嫣火嫣席｜Noma 內幕（下）,2B 產業動態,"8,461",334,,,
2026-03-19,四,香港澳門米芝蓮指南 2026 榜單發佈（18:00）,2B 產業動態,"2,213",99,,,
2026-03-20,五,Circum- 無形文化資產菜單,2C 餐飲食事,"2,164",114,,,
Week 13｜0322- 0328,,,,,,,,
2026-03-23,一,Zài Cuisine 專訪（Mokki）,2B 採訪報導,"7,054",533,"22,493","1,294",149
2026-03-24,二,上海鄉村,2C 餐飲食事,"5,505",235,,,
2026-03-25,三,2026 亞洲 50 最佳餐廳榜單發布（21:30）,2B 產業動態,"2,431",88,,,
2026-03-26,四,菜市場 Tsai Chi Ya（Mokki）,2B 採訪報導,"3,948",269,,,
2026-03-27,五,小小樹食早午餐,2C 餐飲食事,"3,555",169,,,
